,Cities,Longitude,Latitude,Temperature,Country,Cloudines,Humidity,Wind Speed
118,Yellowknife,-114.35,62.46,-5.24,CA,90,79,4.1
119,Havøysund,24.66,71.0,3.0,NO,75,93,13.9
120,Matara,80.54,5.95,30.2,LK,85,63,5.45
121,Dunmore Town,-76.65,25.5,26.79,BS,100,74,5.67
122,Umba,34.34,66.69,-1.93,RU,41,96,3.66
123,San Cristobal,-72.22,7.77,19.49,VE,86,77,0.68
124,Bambous Virieux,57.76,-20.34,25.79,MU,40,57,5.7
125,Aksarka,67.8,66.56,-8.21,RU,76,95,3.05
126,Hamilton,-84.53,39.18,9.7,US,95,85,1.79
127,Ostrovnoy,39.51,68.05,-1.04,RU,100,98,2.34
128,Quthing,27.7,-30.4,22.13,LS,90,39,1.53
129,Pierre,-100.35,44.37,-7.32,US,1,85,3.1
130,Saldanha,17.94,-33.01,15.0,ZA,22,87,2.6
131,New Norfolk,147.06,-42.78,12.1,AU,77,44,2.24
132,Makkah al Mukarramah,39.83,21.43,33.23,SA,19,11,1.57
133,São João da Barra,-41.05,-21.64,22.72,BR,91,80,6.08
134,Salalah,54.09,17.02,29.0,OM,0,48,0.5
135,Rio Grande,-52.1,-32.03,20.0,BR,100,96,3.52
136,Thompson,-97.86,55.74,-7.0,CA,75,79,2.1
137,Monroe,-77.68,43.15,16.61,US,75,93,5.1
138,Itarema,-39.92,-2.92,26.85,BR,37,76,7.52
139,Cavnic,23.87,47.67,13.0,RO,100,82,2.1
140,Atbasar,68.33,51.8,0.91,KZ,7,79,5.49
141,Bethel,-73.41,41.37,15.0,US,98,90,0.89
142,Flinders,150.86,-34.58,22.78,AU,100,81,0.45
143,Lucapa,20.74,-8.42,21.75,AO,90,88,0.55
144,Kruisfontein,24.73,-34.0,21.11,ZA,37,86,0.89
145,Kisarawe,39.07,-6.9,24.0,TZ,20,94,2.19
146,Tiruchchendur,78.12,8.48,34.0,IN,20,52,3.1
147,Ancud,-73.82,-41.87,7.96,CL,75,100,4.1
148,Snezhnogorsk,33.25,69.19,-1.0,RU,75,100,1.0
149,Atar,-13.05,20.52,27.72,MR,99,32,5.19
150,Seoul,126.98,37.57,14.0,KR,1,24,5.93
151,Fukuechō,128.84,32.69,17.0,JP,20,55,7.2
152,Maragogi,-35.22,-9.01,23.84,BR,38,87,4.66
153,Upernavik,-56.15,72.79,-5.99,GL,100,90,2.61
154,Tilichiki,166.1,60.47,-0.4,RU,0,96,2.9
155,Venado Tuerto,-61.97,-33.75,18.17,AR,45,96,1.79
156,Narsaq,-46.05,60.92,-2.0,GL,93,74,1.0
157,Solnechnyy,136.63,50.72,2.53,RU,100,94,4.5
158,Lata,-8.33,40.16,10.16,PT,15,89,0.45
159,Westport,-73.36,41.14,16.04,US,98,98,2.27
160,Cockburn Town,-71.14,21.46,28.31,TC,100,82,8.03
161,Tasiilaq,-37.64,65.61,0.0,GL,100,88,2.1
162,Puerto Nariño,-70.38,-3.77,23.0,CO,40,100,1.07
163,Baní,-70.33,18.28,27.02,DO,99,80,0.89
164,Constitución,-72.42,-35.33,9.71,CL,0,68,2.37
165,Hobart,147.33,-42.88,13.7,AU,75,31,7.7
166,Bose,8.01,45.46,9.1,IT,97,98,0.59
167,Kyra,111.98,49.58,8.74,RU,49,48,1.25
168,Marshall,-86.33,34.38,19.41,US,1,93,1.5
169,Ondjiva,15.73,-17.07,25.25,AO,55,26,2.59
170,Soyo,12.37,-6.13,23.57,AO,100,90,2.43
171,Salina,-97.61,38.84,1.8,US,90,64,4.6
172,Chokurdakh,147.92,70.63,-12.99,RU,99,93,3.35
173,Vardø,31.11,70.37,2.88,NO,100,92,12.34
174,Hithadhoo,73.08,-0.6,28.58,MV,17,76,4.94
175,Ukiah,-123.21,39.15,12.07,US,1,62,0.81
176,Andros Town,-77.77,24.7,26.0,BS,0,83,3.1
177,Praia da Vitória,-27.07,38.73,17.9,PT,20,82,6.69
178,Ducheng,111.53,23.24,26.21,CN,83,33,2.0
179,Williamsburg,-76.71,37.27,16.43,US,1,100,2.12
180,Saint Anthony,-93.22,45.02,-2.76,US,1,68,3.1
181,Tiksi,128.87,71.69,-9.16,RU,14,91,13.17
182,Cherskiy,161.3,68.75,-7.37,RU,2,93,2.83
183,Tsimmerbude,20.13,54.67,8.47,RU,20,100,3.0
184,Pinheiro Machado,-53.38,-31.58,16.11,BR,100,100,4.02
185,Wattegama,81.48,6.8,32.0,LK,40,62,6.7
186,Zonguldak,31.83,41.25,14.92,TR,0,49,1.64
187,Koumac,164.28,-20.57,26.62,NC,39,67,2.84
188,Torbay,-52.73,47.67,3.14,CA,75,86,1.5
189,Bayir,28.22,37.27,12.26,TR,0,87,1.0
190,Ciudad Guayana,-62.65,8.35,24.01,VE,76,83,0.61
191,Kenai,-151.26,60.55,3.89,US,90,64,5.1
192,Sindgi,76.23,16.92,29.35,IN,17,54,0.81
193,Krasnosel'kup,82.47,65.7,-7.57,RU,94,97,4.73
194,La Rioja,-2.5,42.25,7.35,ES,0,93,3.56
195,Burayevo,55.41,55.84,4.31,RU,100,97,4.72
196,Valparaíso,-71.63,-33.04,8.0,CL,0,100,1.0
197,Departamento de Maldonado,-54.92,-34.67,16.06,UY,90,100,2.6
198,Portland,-122.68,45.52,12.58,US,90,82,2.6
199,Saurimo,20.39,-9.66,20.4,AO,91,88,0.58
200,Coahuayana Viejo,-103.68,18.73,26.94,MX,88,88,0.56
201,Suez,32.53,29.97,23.17,EG,1,65,3.09
202,Dunedin,170.5,-45.87,16.25,NZ,34,60,2.68
203,Walnut Creek,-122.06,37.91,13.06,US,1,77,2.1
204,Ponta do Sol,-17.1,32.67,16.12,PT,40,55,4.1
205,Plyussa,29.37,58.43,3.54,RU,55,88,1.95
206,Kamyshin,45.42,50.1,14.94,RU,100,69,5.79
207,Mahébourg,57.7,-20.41,26.0,MU,40,57,5.7
208,Ayan,138.17,56.45,4.48,RU,100,93,8.89
209,Hammerfest,23.68,70.66,3.0,NO,75,93,13.9
210,Riyadh,46.72,24.69,17.0,SA,0,17,1.0
211,Khani,42.96,41.96,11.0,GE,0,81,1.5
212,Luganville,167.17,-15.53,28.0,VU,75,74,1.5
213,Dikson,80.55,73.51,-4.89,RU,96,90,2.88
214,Coyhaique,-72.07,-45.58,8.0,CL,0,93,1.27
215,Carnarvon,113.63,-24.87,26.0,AU,0,61,7.7
216,Campbell River,-125.24,50.02,2.39,CA,40,100,3.1
217,Morro Bay,-120.85,35.37,15.3,US,93,89,0.44
218,Sawai Madhopur,76.37,25.98,31.74,IN,0,21,1.62
219,La Cumbre,-64.49,-30.98,16.11,AR,72,99,1.38
220,Faya,42.45,18.39,16.5,SA,0,23,2.6
221,Annecy-le-Vieux,6.14,45.92,9.34,FR,90,93,0.57
222,Port Hedland,118.57,-20.32,29.0,AU,0,54,9.8
223,Carlos Barbosa,-51.5,-29.3,18.89,BR,100,98,1.15
224,Mar del Plata,-57.56,-38.0,14.43,AR,90,100,1.22
225,Nanortalik,-45.24,60.14,0.83,GL,97,89,3.23
226,Mubi,13.26,10.27,23.82,NG,64,40,0.33
227,Dhārchula,80.53,29.85,24.71,IN,0,20,2.8
228,Adrar,-10.07,20.5,27.12,MR,71,22,5.76
229,Teguise,-13.56,29.06,18.0,ES,20,77,4.1
230,Tuatapere,167.68,-46.13,19.44,NZ,99,53,5.36
231,Lavrentiya,-171.0,65.58,1.04,RU,100,89,1.49
232,Zhuhai,113.57,22.28,25.44,CN,0,53,7.7
233,Cotonou,2.42,6.37,27.0,BJ,40,83,3.6
234,Mangochi,35.26,-14.48,28.42,MW,0,44,0.96
235,Hambantota,81.12,6.12,32.0,LK,40,62,6.7
236,Atherton,-2.49,53.52,8.81,GB,100,86,3.58
237,Bistriţa,24.5,47.13,7.22,RO,82,87,0.89
238,Saint George,-113.58,37.1,14.83,US,1,29,0.2
239,Hurghada,33.81,27.26,21.0,EG,0,35,8.07
240,Lompoc,-120.46,34.64,15.58,US,90,82,0.52
241,Xiuyan,123.27,40.29,12.82,CN,0,38,4.8
242,Peñarroya-Pueblonuevo,-5.27,38.3,10.0,ES,75,100,2.1
243,Ntoum,9.78,0.38,25.0,GA,40,88,2.6
244,Klaksvík,-6.59,62.23,8.0,FO,100,81,13.4
245,Ilulissat,-51.1,69.22,-6.0,GL,85,57,2.1
246,Tondano,124.91,1.3,25.0,ID,40,94,1.5
247,Guerrero Negro,-114.06,27.98,18.77,MX,0,86,4.43
248,Vestmanna,-7.17,62.16,8.0,FO,100,81,13.4
249,Kabalo,26.92,-6.05,22.48,CD,97,91,1.18
250,Rawson,-65.1,-43.3,17.05,AR,98,60,4.42
251,Pevek,170.31,69.7,-3.63,RU,22,93,2.55
252,Tabas,56.92,33.6,20.81,IR,0,24,2.15
253,Oulainen,24.8,64.27,-0.56,FI,13,94,1.79
254,Ternate,127.4,0.8,29.55,ID,37,71,4.0
255,Goderich,-81.72,43.75,7.41,CA,99,85,11.31
256,Pemangkat,108.97,1.17,28.84,ID,59,73,3.73
257,Rome,-75.46,43.21,18.38,US,90,68,3.6
258,Tangjiazhuang,118.45,39.73,19.17,CN,0,23,4.34
259,Rodolfo Sánchez Taboada,-116.57,31.72,16.11,MX,99,86,0.89
260,Dingle,122.67,11.0,28.29,PH,100,78,3.59
261,Lagoa,-27.98,39.05,19.45,PT,34,83,11.03
262,Shitanjing,106.34,39.23,13.69,CN,65,40,4.39
263,Kavaratti,72.64,10.57,29.0,IN,40,74,2.1
264,Outjo,16.15,-20.12,27.29,NA,44,18,7.97
265,Mbandaka,18.26,0.05,22.78,CD,97,96,0.57
266,‘Āhuimanu,-157.84,21.44,24.62,US,75,94,2.48
267,Jieshi,115.83,22.81,26.11,CN,100,40,1.34
268,Junnar,73.88,19.2,27.65,IN,0,58,2.23
269,Gorontalo,123.06,0.54,31.21,ID,62,57,1.86
270,Broome,-75.83,42.25,16.34,US,40,82,5.7
271,Marawi,124.29,8.0,26.67,PH,88,83,1.34
272,Maceió,-35.74,-9.67,24.0,BR,75,88,3.1
273,Moerai,-151.33,-22.43,21.1,PF,100,84,8.84
274,Labuhan,112.21,-6.88,30.81,ID,19,62,3.42
275,Constantine,6.61,36.37,14.0,DZ,75,87,1.5
276,Miragoâne,-73.09,18.44,27.42,HT,98,73,1.45
277,College,-147.8,64.86,-5.39,US,75,78,1.07
278,Aykhal,111.5,66.0,-7.0,RU,0,62,6.0
279,Wasilla,-149.44,61.58,1.21,US,75,37,2.6
280,Sungai Besar,100.99,3.67,28.94,MY,40,79,1.5
281,Saskylakh,114.08,71.92,-10.7,RU,100,94,8.04
282,Yulara,130.99,-25.24,25.0,AU,0,31,3.1
283,Kushmurun,64.63,52.45,1.84,KZ,77,78,8.35
284,Andenes,16.12,69.31,4.0,NO,75,68,11.8
285,Zaraza,-65.32,9.35,22.28,VE,53,94,0.53
286,Fare,-151.02,-16.7,26.78,PF,100,68,2.48
287,Biak,122.88,-0.91,29.74,ID,11,66,1.63
288,Oistins,-59.53,13.07,28.0,BB,40,74,11.3
289,Sfântu Gheorghe,25.78,45.87,10.86,RO,97,51,0.32
290,Hervey Bay,152.85,-25.3,24.72,AU,90,78,8.7
291,Bacolod City,122.95,10.67,27.5,PH,100,82,5.98
292,Al Bardīyah,25.09,31.76,21.26,LY,2,71,6.39
293,Sibolga,98.78,1.74,29.27,ID,93,68,2.3
294,Touros,-35.46,-5.2,24.0,BR,75,94,2.1
295,Lensk,114.93,60.73,1.22,RU,86,85,0.31
296,Guangyuan,105.82,32.44,14.7,CN,99,76,0.89
297,Council Bluffs,-95.86,41.26,-2.11,US,75,80,1.5
298,Morondava,44.28,-20.28,27.57,MG,0,65,2.22
299,Amapá,-52.0,1.0,20.48,BR,0,97,0.44
300,Marzuq,46.47,14.4,23.46,YE,10,17,2.44
301,Carballo,-8.69,43.21,15.39,ES,75,87,4.1
302,Severo-Kuril'sk,156.12,50.68,6.51,RU,100,89,19.22
303,George Town,100.34,5.41,29.66,MY,20,66,3.6
304,Byron Bay,153.62,-28.65,21.08,AU,90,94,4.6
305,Bayan,127.4,46.08,7.78,CN,0,29,8.81
306,Lorengau,147.27,-2.02,29.32,PG,63,60,2.41
307,Oruro,-67.15,-17.98,9.26,BO,38,49,2.51
308,Sarauli,79.1,28.5,31.1,IN,0,19,3.69
309,Corinth,22.96,37.94,13.72,GR,0,71,2.09
310,Port Macquarie,152.92,-31.43,22.22,AU,100,84,6.55
311,Omsukchan,155.8,62.53,-1.09,RU,43,92,1.72
312,Kavieng,150.8,-2.57,29.38,PG,40,61,1.2
313,Kuytun,101.5,54.34,6.49,RU,93,74,1.92
314,Melo,-54.18,-32.37,17.62,UY,100,96,1.79
315,Kahului,-156.47,20.89,24.3,US,20,74,2.08
316,Linqiong,103.46,30.42,20.19,CN,67,68,1.0
317,Luang Prabang,102.13,19.89,28.0,LA,20,45,2.1
318,Kysyl-Syr,122.76,63.9,-3.62,RU,69,94,2.73
319,Norman Wells,-126.83,65.28,-10.0,CA,40,92,0.33
320,Galesong,119.37,-5.32,32.0,ID,40,62,5.1
321,Necochea,-58.74,-38.55,11.41,AR,8,97,2.97
322,Castro,-50.01,-24.79,14.73,BR,97,96,2.58
323,High Level,-117.14,58.52,-11.0,CA,5,92,2.6
324,Ālampur,78.15,15.88,29.82,IN,7,61,1.78
325,Manokwari,134.08,-0.87,28.79,ID,18,74,5.12
326,Vieux-Habitants,-61.77,16.06,28.0,GP,20,74,5.1
327,Chapais,-74.85,49.78,0.0,CA,90,100,3.6
328,Honiara,159.95,-9.43,28.49,SB,91,74,0.43
329,Khislavichi,32.16,54.19,7.25,RU,84,94,2.37
330,Imbituba,-48.67,-28.24,22.0,BR,40,83,3.6
331,Dicabisagan,122.42,17.08,29.68,PH,100,69,2.62
332,Saint-Augustin,-58.65,51.23,1.12,CA,78,87,0.92
333,Leningradskiy,178.42,69.38,-5.03,RU,34,91,2.33
334,Naze,129.48,28.37,22.49,JP,75,53,5.1
335,Mayumba,10.66,-3.43,25.0,GA,100,86,3.21
336,Leh,77.58,34.17,4.63,IN,0,48,1.86
337,Palana,159.97,59.12,1.58,RU,0,88,3.67
338,Shimoda,138.95,34.67,17.94,JP,20,45,6.2
339,Berlin,13.41,52.52,11.27,DE,75,100,2.1
340,Bandarbeyla,50.81,9.49,27.45,SO,98,53,2.15
341,Brae,-1.35,60.4,10.0,GB,82,71,10.3
342,Lida,25.3,53.88,9.55,BY,100,97,0.34
343,Micheweni,39.83,-4.97,28.37,TZ,72,70,4.94
344,Viedma,-63.0,-40.81,13.33,AR,48,89,0.89
345,Monteagudo,-63.98,-19.82,19.92,BO,23,72,1.04
346,Kualakapuas,114.39,-3.01,32.0,ID,40,62,2.1
347,Palmares do Sul,-50.51,-30.26,19.36,BR,94,94,3.16
348,Romny,33.47,50.75,12.16,UA,100,82,1.8
349,Sorong,131.25,-0.88,28.9,ID,54,78,3.78
350,Sackville,-64.38,45.92,9.09,CA,90,81,6.2
351,Kaduqli,29.72,11.02,26.9,SD,58,68,2.02
352,Toora-Khem,96.11,52.47,2.83,RU,100,79,1.65
353,Kongoussi,-1.53,13.33,25.0,BF,25,19,2.76
354,Torbeyevo,43.25,54.08,10.04,RU,68,87,6.09
355,San Policarpo,125.51,12.18,29.32,PH,96,78,3.23
356,Yārāda,83.27,17.65,32.0,IN,75,62,2.1
357,Xai-Xai,33.64,-25.05,24.48,MZ,52,66,2.99
358,Ossora,163.07,59.24,2.72,RU,0,79,0.54
359,Assiut,31.18,27.18,20.0,EG,0,56,2.6
360,Clarence Town,151.78,-32.58,20.89,AU,90,94,2.1
361,Buala,159.59,-8.14,28.67,SB,78,73,2.06
362,Borovskoy,64.15,53.8,0.27,KZ,84,90,7.33
363,Ransang,117.58,8.96,27.73,PH,100,75,2.63
364,Caratinga,-42.14,-19.79,18.15,BR,95,88,0.89
365,Vila Velha,-40.29,-20.33,20.0,BR,75,100,1.5
366,Tolaga Bay,178.3,-38.37,17.92,NZ,4,81,3.02
367,Kodinsk,99.18,58.69,2.83,RU,80,78,3.73
368,Laguna,-121.42,38.42,14.73,US,1,59,3.6
369,Bixby,-95.88,35.94,6.54,US,2,75,1.79
370,Novyy Nekouz,38.07,57.9,6.17,RU,40,82,4.93
371,Yenagoa,6.26,4.92,24.31,NG,97,92,1.07
372,Magadan,150.8,59.57,4.03,RU,98,81,2.33
373,Berlevåg,29.09,70.86,2.8,NO,100,91,12.69
374,Palauig,119.9,15.44,28.55,PH,100,79,4.11
375,Lerwick,-1.15,60.15,10.0,GB,84,71,10.3
376,Forbes,148.02,-33.38,23.8,AU,88,68,5.61
377,Anadyr,177.48,64.75,-2.12,RU,75,100,2.0
378,Mossamedes,12.15,-15.2,21.11,AO,78,80,1.49
379,Hasaki,140.83,35.73,18.53,JP,75,72,4.1
380,Aswān,32.91,24.09,25.79,EG,0,32,8.3
381,La Ronge,-105.28,55.1,-5.0,CA,90,67,3.6
382,Caloundra,153.13,-26.8,20.23,AU,100,90,0.89
383,Back Mountain,-76.0,41.34,17.23,US,20,85,2.28
384,Buritis,-46.42,-15.62,21.3,BR,98,88,2.19
385,Spirit River,-118.84,55.78,-9.18,CA,90,85,2.1
386,Oksovskiy,39.9,62.61,1.19,RU,100,96,4.78
387,Manoel Urbano,-69.26,-8.84,21.86,BR,88,97,1.02
388,Pathein,94.73,16.78,31.18,MM,83,70,3.64
389,Adiaké,-3.3,5.29,26.0,CI,40,88,3.1
390,Carauari,-66.9,-4.88,23.22,BR,93,98,0.84
391,Gizo Government Station,156.84,-8.1,29.02,SB,99,71,2.99
392,Susanville,-120.65,40.42,2.22,US,1,57,1.5
393,Makakilo City,-158.09,21.35,24.85,US,40,78,3.6
394,Rancho Palos Verdes,-118.39,33.74,17.41,US,100,85,0.45
395,Petropavlovsk-Kamchatskiy,158.65,53.05,6.0,RU,90,100,3.0
396,Alyangula,136.42,-13.85,35.0,AU,8,36,5.1
397,Tarakan,117.63,3.3,29.09,ID,100,68,1.81
398,Wanning,110.4,18.8,20.33,CN,100,87,12.07
399,Yeppoon,150.73,-23.13,27.0,AU,100,57,2.6
400,Uberlândia,-48.28,-18.92,19.51,BR,100,90,4.56
401,Nawabshah,68.41,26.25,25.0,PK,0,50,2.1
402,Svetlaya,138.33,46.54,6.47,RU,98,64,4.19
403,Puerto Suárez,-57.8,-18.95,22.59,BO,96,97,2.4
404,Ambilobe,49.05,-13.2,32.04,MG,0,29,3.27
405,Sulangan,123.72,11.14,28.21,PH,74,75,4.87
406,Merzifon,35.46,40.87,7.0,TR,0,28,0.43
407,Wyndham,-77.61,37.7,16.05,US,1,93,1.5
408,Lillesand,8.38,58.25,6.4,NO,75,93,1.0
409,Garoowe,48.48,8.41,28.37,SO,80,41,1.69
410,Puerto Quijarro,-57.77,-17.78,22.35,BO,100,96,1.3
411,Palmer,-72.33,42.16,14.55,US,90,87,2.6
412,Kutum,24.67,14.2,23.19,SD,0,21,8.51
413,Khanbari,87.2,27.37,27.25,NP,1,37,1.98
414,Molina,-71.28,-35.12,12.0,CL,20,62,2.6
415,Distrikt Brokopondo,-55.17,4.75,25.51,SR,63,88,3.72
416,Alofi,-169.92,-19.06,25.0,NU,44,83,7.7
417,Provincie Utrecht,5.25,52.0,11.96,NL,71,91,1.79
418,Harper,-7.72,4.38,24.44,LR,95,89,1.37
419,San Miguel de Tucumán,-65.22,-26.82,24.0,AR,90,73,1.5
420,Champerico,-91.92,14.3,19.09,GT,100,99,2.4
421,Ilhabela,-45.36,-23.78,21.0,BR,63,82,1.87
422,Sisimiut,-53.67,66.94,-5.14,GL,18,88,2.62
423,Neryungri,124.65,56.67,-0.36,RU,0,94,2.69
424,Muroto-misakicho,134.15,33.28,21.0,JP,20,37,5.1
425,Den Helder,4.76,52.96,11.83,NL,20,71,6.7
426,Kungurtug,97.52,50.6,9.12,RU,100,46,0.52
427,Sitka,-135.33,57.05,3.0,US,75,34,2.56
428,Kloulklubed,134.26,7.04,30.0,PW,75,70,4.1
429,Tiarei,-149.33,-17.53,25.77,PF,75,74,2.6
430,Paamiut,-49.67,61.99,0.39,GL,57,89,12.01
